step,particle_id,name,x,y,z,vx,vy,vz
11,6,Saturn,1.34434e+12,4.57296e+11,-4.50961e+10,-3347.56,8536.57,113.08
11,7,Uranus,2.80652e+12,-1.11782e+12,-5.01675e+10,2471.24,5623.69,-81.4969
11,8,Neptune,4.3987e+12,8.14619e+11,-8.80296e+10,-989.37,5159.41,116.671
12,0,Sun,-7.11264e+08,2.85995e+08,3.69297e+06,-7.32043,-15.8385,0.239677
12,1,Mercury,-5.62423e+10,4.38816e+10,5.50925e+09,-22648.5,-31920.6,1493.28
12,2,Venus,6.47916e+10,-8.52258e+10,-5.85616e+09,27388.7,21403.5,-993.27
12,3,Earth,-1.49508e+11,-3.92433e+09,-2.69424e+06,17.0333,-29753.2,0.889859
12,4,Mars,-7.7554e+10,2.17524e+11,6.72033e+09,-22593.4,-6324.53,379.135
12,5,Jupiter,4.89178e+11,-6.07731e+11,-1.10779e+10,9341.39,8475.84,-220.567
12,6,Saturn,1.34405e+12,4.58034e+11,-4.50863e+10,-3358.3,8532.91,113.441
12,7,Uranus,2.80673e+12,-1.11733e+12,-5.01745e+10,2468.9,5624.62,-81.4551
12,8,Neptune,4.39862e+12,8.15065e+11,-8.80195e+10,-990.497,5159.2,116.694
13,0,Sun,-7.11896e+08,2.84626e+08,3.71366e+06,-7.30794,-15.8537,0.239269
13,1,Mercury,-5.81217e+10,4.10628e+10,5.63059e+09,-20818.3,-33287.7,1312.87
13,2,Venus,6.71321e+10,-8.33428e+10,-5.93966e+09,26779.5,22176.3,-939.344
13,3,Earth,-1.49484e+11,-6.49437e+09,-2.61641e+06,533.932,-29734.1,0.911728
13,4,Mars,-7.9503e+10,2.16969e+11,6.75281e+09,-22520.7,-6527.43,372.838
13,5,Jupiter,4.89984e+11,-6.06997e+11,-1.1097e+10,9317.77,8505.11,-220.033
13,6,Saturn,1.34376e+12,4.58771e+11,-4.50765e+10,-3369.05,8529.24,113.801
13,7,Uranus,2.80694e+12,-1.11685e+12,-5.01816e+10,2466.57,5625.55,-81.4134
13,8,Neptune,4.39853e+12,8.1551e+11,-8.80094e+10,-991.624,5158.99,116.716
14,0,Sun,-7.12527e+08,2.83255e+08,3.73431e+06,-7.29537,-15.8688,0.238859
14,1,Mercury,-5.98397e+10,3.81295e+10,5.73611e+09,-18914.5,-34571.8,1127.31
14,2,Venus,6.94191e+10,-8.13938e+10,-6.01848e+09,26148.6,22932,-884.636
14,3,Earth,-1.49416e+11,-9.06238e+09,-2.5367e+06,1049.94,-29706.1,0.933363
14,4,Mars,-8.14456e+10,2.16396e+11,6.78475e+09,-22446.2,-6729.46,366.522
14,5,Jupiter,4.90788e+11,-6.06261e+11,-1.11159e+10,9294.11,8534.36,-219.498
14,6,Saturn,1.34347e+12,4.59508e+11,-4.50666e+10,-3379.79,8525.57,114.161
14,7,Uranus,2.80716e+12,-1.11636e+12,-5.01886e+10,2464.23,5626.48,-81.3717
14,8,Neptune,4.39845e+12,8.15956e+11,-8.79994e+10,-992.751,5158.78,116.739
15,0,Sun,-7.13157e+08,2.81884e+08,3.75493e+06,-7.28275,-15.8838,0.238448
15,1,Mercury,-6.13901e+10,3.50888e+10,5.82539e+09,-16938.5,-35769.8,936.747
15,2,Venus,7.16506e+10,-7.93802e+10,-6.09253e+09,25496.6,23670.2,-829.187
15,3,Earth,-1.49303e+11,-1.16276e+10,-2.45512e+06,1564.9,-29669.3,0.954759
15,4,Mars,-8.33817e+10,2.15806e+11,6.81615e+09,-22370.1,-6930.58,360.188
15,5,Jupiter,4.9159e+11,-6.05522e+11,-1.11349e+10,9270.41,8563.57,-218.962
15,6,Saturn,1.34318e+12,4.60244e+11,-4.50568e+10,-3390.54,8521.9,114.522
15,7,Uranus,2.80737e+12,-1.11587e+12,-5.01956e+10,2461.9,5627.41,-81.3299
15,8,Neptune,4.39836e+12,8.16402e+11,-8.79893e+10,-993.877,5158.57,116.761
16,0,Sun,-7.13786e+08,2.80511e+08,3.77552e+06,-7.27006,-15.8989,0.238035
16,1,Mercury,-6.27666e+10,3.19485e+10,5.89798e+09,-14891.5,-36878.1,741.353
16,2,Venus,7.38249e+10,-7.73035e+10,-6.16176e+09,24823.9,24390.3,-773.036
16,3,Earth,-1.49145e+11,-1.41892e+10,-2.37171e+06,2078.68,-29623.7,0.975911
16,4,Mars,-8.53111e+10,2.15198e+11,6.84699e+09,-22292.3,-7130.8,353.837
16,5,Jupiter,4.9239e+11,-6.04781e+11,-1.11538e+10,9246.66,8592.76,-218.424
16,6,Saturn,1.34288e+12,4.6098e+11,-4.50468e+10,-3401.28,8518.21,114.882
16,7,Uranus,2.80758e+12,-1.11539e+12,-5.02027e+10,2459.56,5628.34,-81.2882
16,8,Neptune,4.39827e+12,8.16847e+11,-8.79792e+10,-995.004,5158.36,116.784
17,0,Sun,-7.14413e+08,2.79136e+08,3.79607e+06,-7.25731,-15.914,0.237622
17,1,Mercury,-6.39633e+10,2.87163e+10,5.95349e+09,-12775,-37893,541.303
17,2,Venus,7.59402e+10,-7.51655e+10,-6.22611e+09,24131,25091.6,-716.225
17,3,Earth,-1.48943e+11,-1.67466e+10,-2.28649e+06,2591.13,-29569.3,0.996812
17,4,Mars,-8.72338e+10,2.14574e+11,6.87729e+09,-22212.8,-7330.1,347.468
17,5,Jupiter,4.93188e+11,-6.04038e+11,-1.11726e+10,9222.86,8621.91,-217.886
17,6,Saturn,1.34259e+12,4.61716e+11,-4.50369e+10,-3412.02,8514.52,115.242
17,7,Uranus,2.80779e+12,-1.1149e+12,-5.02097e+10,2457.23,5629.27,-81.2464
17,8,Neptune,4.39819e+12,8.17293e+11,-8.79691e+10,-996.131,5158.16,116.806
18,0,Sun,-7.1504e+08,2.77761e+08,3.81658e+06,-7.24449,-15.929,0.237207
18,1,Mercury,-6.49742e+10,2.54006e+10,5.99152e+09,-10590.4,-38810.1,336.782
18,2,Venus,7.79947e+10,-7.29677e+10,-6.28552e+09,23418.3,25773.7,-658.796
18,3,Earth,-1.48697e+11,-1.92988e+10,-2.19946e+06,3102.1,-29506.2,1.01746
18,4,Mars,-8.91495e+10,2.13932e+11,6.90704e+09,-22131.7,-7528.47,341.082
18,5,Jupiter,4.93984e+11,-6.03291e+11,-1.11914e+10,9199.02,8651.04,-217.347
18,6,Saturn,1.34229e+12,4.62452e+11,-4.50269e+10,-3422.75,8510.83,115.602
18,7,Uranus,2.80801e+12,-1.11442e+12,-5.02167e+10,2454.89,5630.19,-81.2047
18,8,Neptune,4.3981e+12,8.17739e+11,-8.7959e+10,-997.258,5157.95,116.829
19,0,Sun,-7.15665e+08,2.76384e+08,3.83705e+06,-7.23162,-15.944,0.23679
19,1,Mercury,-6.57934e+10,2.20099e+10,6.01169e+09,-8339.15,-39625.2,127.995
19,2,Venus,7.99869e+10,-7.07118e+10,-6.33995e+09,22686.4,26435.9,-600.792
19,3,Earth,-1.48407e+11,-2.18452e+10,-2.11067e+06,3611.44,-29434.4,1.03784
19,4,Mars,-9.10581e+10,2.13273e+11,6.93623e+09,-22049,-7725.89,334.679
19,5,Jupiter,4.94778e+11,-6.02543e+11,-1.12102e+10,9175.14,8680.15,-216.806
19,6,Saturn,1.342e+12,4.63187e+11,-4.50169e+10,-3433.49,8507.13,115.962
19,7,Uranus,2.80822e+12,-1.11393e+12,-5.02237e+10,2452.56,5631.12,-81.1629
19,8,Neptune,4.39802e+12,8.18184e+11,-8.79489e+10,-998.384,5157.74,116.851
20,0,Sun,-7.16289e+08,2.75005e+08,3.8575e+06,-7.21868,-15.959,0.236373
20,1,Mercury,-6.64152e+10,1.85533e+10,6.01364e+09,-6023.01,-40333.3,-84.8366
20,2,Venus,8.19149e+10,-6.83996e+10,-6.38934e+09,21935.8,27077.7,-542.256
20,3,Earth,-1.48073e+11,-2.43851e+10,-2.02013e+06,4119.03,-29353.9,1.05796
20,4,Mars,-9.29596e+10,2.12597e+11,6.96487e+09,-21964.6,-7922.37,328.261
20,5,Jupiter,4.9557e+11,-6.01791e+11,-1.12289e+10,9151.21,8709.22,-216.264
20,6,Saturn,1.3417e+12,4.63922e+11,-4.50069e+10,-3444.23,8503.42,116.322
20,7,Uranus,2.80843e+12,-1.11344e+12,-5.02307e+10,2450.22,5632.05,-81.1212
20,8,Neptune,4.39793e+12,8.1863e+11,-8.79388e+10,-999.511,5157.53,116.874
