step,particle_id,x,y,z,vx,vy,vz,mass
0,25,1.39385,17.7546,0.117418,-7.47127,0.58096,-0.0106579,0.203778
0,26,-7.2695,-2.60069,-0.241103,3.8184,-10.6855,-0.048776,0.772132
0,27,-9.95124,3.76115,0.215128,-3.40925,-9.06844,-0.0117391,0.634558
0,28,1.73572,11.5295,0.0935429,-9.14634,1.37418,-0.0582834,0.838202
0,29,10.5218,-5.37148,0.24858,4.18025,8.22147,-0.0067362,0.35176
0,30,-3.80712,-9.68192,0.0919761,9.11629,-3.62413,0.0393425,0.191158
0,31,11.4835,8.45469,0.0355701,-4.95651,6.77206,-0.000275366,0.738329
0,32,-0.859539,11.9713,0.0931321,-9.11243,-0.616941,-0.0232632,0.480841
0,33,-9.5325,-8.43491,0.224472,5.88738,-6.61612,-0.0681083,0.350929
0,34,11.0751,-11.8175,-0.206381,5.73378,5.39621,-0.0377865,0.691308
0,35,7.22952,-13.3234,-0.0343316,7.16286,3.90093,0.0663388,0.576968
0,36,3.12855,-13.8901,-0.140164,8.17504,1.80666,-0.0142743,0.117024
0,37,10.1463,-6.91936,-0.0283809,5.06055,7.48923,0.0280987,0.539258
0,38,14.5433,13.2486,-0.111182,-4.78884,5.24546,0.0360682,0.455149
0,39,-7.2164,1.23003,-0.167435,-2.01366,-11.5667,0.00801324,0.513944
0,40,12.489,3.98495,0.146929,-2.6315,8.29993,-0.0262499,0.292025
0,41,-9.0857,14.1446,0.197811,-6.51669,-4.16752,0.0164827,0.337132
0,42,-10.4746,-16.4307,0.128735,6.0244,-3.82679,0.00611178,0.363521
0,43,3.6327,-9.687,-0.244013,9.23671,3.4266,-0.0359532,0.88492
0,44,-8.86058,-11.0491,-0.0702721,6.57572,-5.23151,-0.00894123,0.139254
0,45,-15.1232,-10.8422,-0.138512,4.26496,-5.94283,0.039146,0.745815
0,46,5.93661,-13.44,0.0990895,7.56796,3.37145,-0.0304771,0.26622
0,47,-0.194792,-17.8743,0.00370574,7.49574,-0.0580549,-0.0286628,0.174698
0,48,15.9058,-3.3613,0.249368,1.59972,7.67269,-0.010539,0.735646
0,49,17.548,-4.25486,-0.142867,1.75174,7.23742,0.0100872,0.161189
0,50,-7.17812,18.4667,-0.185659,-6.629,-2.58592,0.042984,0.814134
0,51,6.60624,-13.418,0.0247117,7.33241,3.59536,0.0306304,0.761411
0,52,-7.13236,0.781167,0.12766,-1.28769,-11.7849,0.00613128,0.806311
0,53,11.6323,0.0408662,-0.244827,-0.067656,9.27762,0.0239742,0.419702
0,54,9.8246,6.85492,-0.107028,-5.23653,7.45536,0.0347258,0.594495
0,55,-12.9008,-2.86771,-0.119281,1.84764,-8.5099,0.0669338,0.21318
0,56,-17.1962,-0.932454,-0.165703,0.393003,-7.64269,0.016397,0.908264
0,57,0.251178,-12.3313,-0.227907,9.0184,0.175893,0.0624961,0.421978
0,58,7.69907,-5.67386,-0.00112241,6.02145,8.21197,-0.0524649,0.744681
0,59,-3.89485,7.16075,0.111914,-9.7535,-5.28974,-0.0692162,0.289938
0,60,-12.3982,-9.20369,-0.0451227,4.81133,-6.42415,0.0502049,0.453786
0,61,10.7012,8.82332,-0.038762,-5.42978,6.56587,0.0605913,0.875718
0,62,18.5396,-4.76872,-0.120373,1.81751,7.02003,-0.00684597,0.526218
0,63,17.8958,-4.18824,0.152075,1.64502,7.16113,0.000775529,0.282548
0,64,4.74273,16.0824,0.127185,-7.37295,2.1997,0.0400366,0.286034
0,65,-13.8254,8.46454,0.0347058,-4.08576,-6.72323,-0.0619085,0.173146
0,66,-9.07519,-14.4859,-0.171362,6.46894,-4.09566,-0.0232083,0.84147
0,67,11.3641,6.36057,-0.221608,-4.29951,7.69031,-0.055707,0.271903
0,68,11.0885,6.47557,-0.193832,-4.49284,7.6518,-0.0395241,0.112085
0,69,-4.28815,-6.62719,-0.0983107,9.46559,-6.09746,-0.0607182,0.583408
0,70,-6.92176,6.13738,-0.216085,-6.93767,-7.76497,0.0414459,0.308505
0,71,7.96347,9.11176,0.0643818,-6.83364,5.95112,0.0306188,0.203479
0,72,0.368022,-13.0672,0.0205034,8.76495,0.210173,-0.00403361,0.766149
0,73,-4.1461,-9.34908,0.173636,9.08516,-4.01785,-0.0505515,0.702776
