step,total_energy,num_particles
357,10861451.03042511,994
358,10861623.70458861,994
359,10861691.07451393,994
360,10864503.77455864,994
361,10874997.60389649,994
362,10875062.46077767,994
363,10875207.04608865,994
364,10875276.62270059,994
365,10875224.41197632,994
366,10875303.87066600,994
367,10875778.81557863,994
368,10896806.75042752,994
369,11022773.18124946,994
370,11023096.51987725,994
371,11028195.21597823,994
372,11068033.01480961,994
373,11118118.52779500,994
374,11117876.89112723,994
375,11118557.17124907,994
376,11118819.89306697,994
377,11119100.03716783,994
378,11119452.84631265,994
379,11119805.09953614,994
380,11120104.65631498,994
381,11120365.62783317,994
382,11120605.72105242,994
383,11120859.66091435,994
384,11121537.06930934,994
385,11156951.21901074,994
386,11404007.32498381,994
387,11404490.56453322,994
388,11404798.27160062,994
389,11404882.38859242,994
390,11405771.03819660,994
391,11407212.77508955,994
392,11413708.41535069,994
393,11413789.83767070,994
394,11415927.16303754,994
395,11425482.82572918,994
396,11424845.74477494,994
397,11424989.37081881,994
398,11426080.12524357,993
399,11414056.62985373,993
400,11427902.90622146,993
401,11427049.33878504,993
402,11427136.17093924,993
403,11427270.17424252,993
404,11427550.06030582,993
405,11427937.37433670,993
406,11428255.06948974,993
407,11428506.16089041,993
408,11428735.01104659,993
409,11428939.66259662,993
410,11429126.95173654,993
411,11429294.78110210,993
412,11429446.33044511,993
413,11429584.72426195,993
414,11429711.31276978,993
415,11429868.68913347,993
416,11430049.37736076,993
417,11430225.48110660,993
418,11430401.24348190,993
419,11430588.05754617,993
420,11430864.66767925,993
421,11432107.18907380,993
422,11603252.85553533,993
423,12270075.37483360,993
424,12271982.82367361,993
425,12266512.12189671,993
426,12265485.20864955,993
427,12437204.19576876,993
428,13071118.34347845,993
429,13071653.03333155,993
430,13072024.22951044,993
431,13072338.79894932,993
432,13072635.65474294,993
433,13072990.08069476,993
434,13074390.45687138,993
435,13061774.30400228,993
436,13066109.40285237,993
437,13066312.10424815,993
438,13062474.04853919,993
439,13071675.60861359,993
440,13072447.21857641,993
441,13072481.61240562,993
442,13072675.70100350,993
443,13073593.18219287,993
444,13070997.21116105,993
445,13144851.90720659,993
446,13144943.63962847,993
447,13145608.42766151,993
448,13146125.76201425,993
449,13146735.30568742,993
450,13147721.63744744,993
451,13206299.28182786,993
452,13528092.96785774,993
453,13528438.56596773,993
454,13529238.24006527,993
455,13529543.66768451,993
456,13529827.75049132,993
457,13530360.25057339,993
458,13530983.55205142,993
459,13529728.26254657,993
460,13529448.14661127,993
461,13529629.66694098,993
462,13530405.65372681,993
463,13533589.57999263,993
464,13533369.53028997,993
465,13533521.54077503,993
466,13533695.84251493,993
467,13533816.92520548,993
468,13534070.61327510,993
469,13534248.42475046,993
470,13534445.32322475,993
471,13534631.58025889,993
472,13534811.69660341,993
473,13534997.49656332,993
474,13535175.77963927,993
475,13535359.67137866,993
476,13535578.47494623,993
477,13536243.17784022,993
478,13752368.18640860,993
479,14416022.16430212,993
480,14416543.11331522,993
481,14416826.37466671,993
482,14417015.96020633,993
483,14417171.07805707,993
484,14417283.92979862,993
485,14417239.15079951,993
486,14417205.31015507,993
487,14417365.22065912,993
488,14417970.21015215,993
489,14435408.57277951,993
490,14581391.53380574,993
491,14581341.38543749,993
492,14581487.75340448,993
493,14581689.20076940,993
494,14581841.83019424,993
495,14581971.72218834,993
496,14582089.09905331,993
497,14582190.18896171,993
498,14582291.30617988,993
499,14582336.92090120,993
