step,particle_id,x,y,z,vx,vy,vz
1,7,-7.54946,-0.977344,8.66123,0.0150198,-0.0798592,-0.12847
1,8,0.779307,-8.77255,-24.3201,-0.0356651,0.0804636,-0.0231692
1,9,-23.0009,-19.0282,-26.5264,-0.0550804,-0.0618697,0.0191757
1,10,7.02378,-19.2816,-10.5043,-0.0286856,0.0901527,0.114887
1,11,0.223305,-11.7211,6.20867,0.0308878,0.121659,-0.14
1,12,29.7105,10.4118,-18.2167,-0.0369998,0.0212768,0.0614998
1,13,15.1108,2.90284,-15.4791,-0.0836522,0.0272922,-0.0198274
1,14,22.4572,-6.37897,26.7019,-0.0383385,0.0631749,-0.000980721
1,15,-14.7344,28.3802,15.5545,0.0327992,-0.0978106,-0.0721557
1,16,22.4731,8.79144,-17.411,-0.0182368,0.0800898,0.0270526
1,17,-18.202,-5.56753,0.149077,0.0249411,-0.0750974,0.0424955
1,18,0.236992,2.70805,-0.642181,-0.257571,-2.5125,0.67606
1,19,-18.5652,-18.0487,-21.6422,0.107562,0.094586,-0.0199356
1,20,-28.2658,14.6355,21.5757,0.0167757,0.0697146,0.00778196
1,21,-26.3569,-17.3725,-8.09928,-0.0800973,0.0525131,0.0925085
1,22,-25.2655,-6.59923,7.04377,0.0616273,0.100471,-0.00105425
1,23,-26.3617,-29.3509,-3.4652,-0.0365291,0.0624231,0.0420501
1,24,19.6633,26.4717,24.0123,0.0899159,-0.0901317,0.0349983
1,25,-23.7851,2.0664,11.6963,-0.0636242,0.0440312,-0.0338248
1,26,21.8682,26.7788,21.6581,-0.0523924,0.0688728,-0.100093
1,27,-9.95975,-16.5506,8.14061,0.0339954,0.000484192,-0.0822334
1,28,11.0402,-11.709,-22.7785,0.0736791,0.106658,0.0591764
1,29,-21.5192,-3.46615,-15.7491,0.0622557,-0.051525,-0.0706287
1,30,-3.90997,-17.9366,-12.8364,0.0256797,-0.0519626,0.0265716
1,31,1.88599,-21.7496,-18.0538,-0.0549444,-0.0566408,-0.046061
1,32,25.0951,-2.24042,20.0989,0.0772255,-0.0531889,-0.088133
1,33,24.5589,3.04687,4.90442,0.0533847,-0.0329142,0.0293527
1,34,-14.6958,29.5114,11.6486,0.0475403,-0.0282086,-0.0186149
1,35,4.85989,17.0679,-22.7684,-0.0326607,-0.0669685,0.0171068
1,36,9.85661,-9.0399,-23.3642,-0.050534,-0.0772805,-0.00700176
1,37,9.41604,-1.07633,-4.26932,-0.124887,0.0528281,0.106675
1,38,20.4998,-11.593,6.77911,-0.11379,0.0559146,0.0477549
1,39,16.8806,24.2599,-12.6598,-0.0877013,0.0828066,0.002487
1,40,-8.91933,29.9215,6.66095,0.0149012,0.0121217,-0.103627
1,41,-4.43935,-10.2221,13.1341,-0.0404451,0.113151,0.0401904
1,42,-8.22032,14.3346,2.05553,-0.0312034,-0.127353,0.00665322
1,43,21.4516,-29.8192,22.2488,-0.0993895,0.0286912,-0.0467634
1,44,-8.74017,-15.4635,9.13867,0.0436441,-0.00494124,0.0179698
1,45,-28.6016,-7.15739,-9.29422,-0.0230848,0.0551058,0.101089
1,46,28.3203,-18.5201,27.3145,0.00178852,-0.0614867,-0.08109
1,47,24.13,28.3529,23.8932,0.0669386,0.00413578,0.0762257
1,48,1.07435,2.25439,-2.43675,-0.530971,-1.14816,1.18363
1,49,-2.48379,10.0177,23.2859,-0.0099594,0.0434255,-0.0773167
1,50,-4.50836,1.48051,8.7388,0.173258,-0.0809132,-0.171332
1,51,0.117249,14.853,-18.3186,-0.016892,-0.0626507,0.00449523
1,52,-25.3975,8.25164,-4.36967,-0.0137176,0.00252443,-0.0443032
1,53,-10.3255,-0.746474,26.7965,0.0854698,-0.0324498,0.0235135
1,54,15.3883,4.1399,-2.253,-0.0935259,0.0467389,-0.049779
1,55,10.1562,-29.933,-27.3353,-0.0205614,-0.0392942,0.0355294
1,56,6.14144,-19.2705,25.9778,0.0456861,0.0283028,-0.0816567
1,57,23.0167,-13.6152,-27.4032,-0.056013,-0.0125959,0.0562984
1,58,29.9042,14.3988,12.8146,-0.0579563,-0.011056,-0.0751725
1,59,25.5585,24.9044,-10.9513,0.0470553,0.00529495,0.0752479
1,60,13.8553,-2.07136,3.9445,-0.0950232,0.0749454,0.000313919
1,61,16.1583,-24.2604,5.8385,0.00171991,0.0678666,0.0244798
1,62,-22.6772,-12.5299,26.209,0.101223,-0.0882308,-0.0742616
1,63,-13.9764,-10.0476,-4.75395,0.0602452,-0.062765,0.0107895
1,64,-21.9344,-11.8401,-22.9159,0.0596023,0.100757,0.0621743
1,65,24.6999,-8.38594,-11.9121,-0.111981,0.0742596,-0.00398915
1,66,26.5954,0.816645,15.7715,-0.0254631,-0.0217255,0.0747217
1,67,18.6018,28.4673,26.2846,0.0293488,-0.00760086,-0.00218864
1,68,9.95656,8.34203,3.19994,-0.13681,-0.117055,-0.0335783
1,69,23.311,2.44868,10.908,0.0495694,-0.0504976,-0.0494545
1,70,-20.6387,-27.4857,22.6281,0.00188644,-0.0916634,-0.00196041
1,71,-16.995,20.5267,1.6905,0.114881,-0.0971623,0.0325213
1,72,27.0303,27.7715,-20.5972,-0.00841608,0.0763089,0.0813314
1,73,-27.324,-12.3399,-26.1727,0.107121,0.0358836,0.0903421
1,74,25.2529,26.9958,19.0578,0.0666872,-0.027101,-0.0311779
1,75,-18.1848,-6.36055,11.4899,0.0696461,-0.00596525,-0.0952177
1,76,14.9526,-14.1842,13.1632,-0.0406992,-0.0559147,-0.0370737
1,77,3.20021,-0.226439,-12.3027,-0.0633986,-0.0623592,0.132057
1,78,-1.37529,28.7666,7.98653,0.0336985,-0.0635088,-0.0768133
1,79,-7.83853,17.82,-20.8267,-0.0589168,0.0194687,-0.0785239
1,80,7.41979,-29.4478,-8.27939,-0.00285389,0.0947395,-0.036836
1,81,10.0393,17.5279,-2.68065,0.0751412,-0.0934195,0.102454
1,82,-26.262,5.06934,-0.67121,0.00215155,-0.0624823,-0.0512468
1,83,19.4625,6.36784,2.75503,-0.124784,-0.0549413,-0.00612311
1,84,-7.30897,29.2212,-13.8973,-0.0578403,0.0462188,-0.0141116
1,85,-20.4106,-26.6848,-23.0408,0.0738888,-0.0888284,-0.0513563
1,86,3.08425,-7.41281,-22.166,0.067177,-0.00960475,0.105774
1,87,-9.19071,-7.404,27.5813,-0.0438297,-0.0673067,0.074952
1,88,-20.595,-19.149,-28.6041,-0.000257057,-0.0486288,-0.0550409
1,89,-6.51324,-6.09237,26.4986,-0.0320158,0.0196379,-0.00716205
1,90,21.7198,21.3726,-12.6248,-0.108067,0.0188541,-0.0552284
1,91,-8.51143,17.7726,29.4455,0.0712551,-0.0164447,0.0224637
1,92,6.41654,-15.4574,20.393,0.0921687,0.109384,0.0518741
1,93,-5.38553,17.4132,28.0367,0.0988852,0.0295178,0.0444299
1,94,-25.5446,14.9292,-20.4142,0.0437424,0.0658803,-0.0408579
1,95,19.8041,5.83557,13.5745,-0.0961953,0.043211,-0.111134
1,96,0.0425673,-0.315283,23.0057,0.0389434,-0.0249771,-0.012713
1,97,-5.43783,28.39,-6.27898,0.0749238,0.000681177,0.0219983
1,98,10.4344,3.37129,-18.4997,-0.0209133,-0.00923683,0.0115599
1,99,2.78876,22.7886,18.4914,0.0224799,0.0286423,-0.0287167
1,100,11.7861,-16.8949,21.0205,-0.0429477,-0.0790251,-0.083605
2,0,0,0,0,0,-10,0
2,1,13.4784,-19.1054,-20.6036,0.0398754,0.113647,-0.0643085
2,2,-21.2245,-25.7012,-14.8396,-0.0433013,-0.0620535,0.0249249
2,3,-23.9038,10.0286,19.4955,-0.0515059,-0.0671161,0.0634875
2,4,7.98381,-1.83318,-9.24661,-0.141066,-0.00590168,0.221929
2,5,22.4186,-25.374,18.0632,0.00375281,0.0387363,-0.00909982
2,6,-15.5924,12.7168,-19.7445,0.10528,-0.0441335,0.00823935
2,7,-7.54817,-0.978814,8.65753,0.114103,-0.0670581,-0.24156
2,8,0.778595,-8.77084,-24.3203,-0.0356207,0.091045,0.00618589
2,9,-23.0019,-19.0294,-26.5259,-0.046998,-0.0554124,0.0279527
2,10,7.02309,-19.2794,-10.5019,-0.0403407,0.122108,0.132092
2,11,0.223901,-11.7177,6.20534,0.0286881,0.222485,-0.192993
2,12,29.7096,10.4122,-18.2154,-0.0500148,0.0168076,0.0694225
2,13,15.1088,2.90332,-15.4792,-0.113234,0.0215202,0.0104212
2,14,22.4564,-6.37768,26.7018,-0.0486653,0.0661312,-0.0136756
2,15,-14.7337,28.3781,15.553,0.0396534,-0.110842,-0.0795221
2,16,22.4726,8.79298,-17.4103,-0.0357459,0.0732344,0.0407051
2,17,-18.201,-5.56887,0.149925,0.0781247,-0.0589534,0.0422224
2,18,0.22967,2.63294,-0.622773,-0.480576,-5.07072,1.28113
2,19,-18.563,-18.0467,-21.6424,0.117229,0.104265,-0.00843431
2,20,-28.2654,14.6369,21.5758,0.0272066,0.0642494,-0.000142547
2,21,-26.3584,-17.3713,-8.09739,-0.0643415,0.0630032,0.0971835
2,22,-25.264,-6.59715,7.04367,0.0880745,0.107439,-0.00826716
2,23,-26.3624,-29.3495,-3.46435,-0.0276809,0.0723586,0.0430894
2,24,19.665,26.4699,24.0129,0.0838956,-0.0969608,0.028585
2,25,-23.7861,2.06725,11.6955,-0.0376905,0.0414968,-0.0466412
2,26,21.8671,26.78,21.6561,-0.0597733,0.0608483,-0.105206
2,27,-9.95883,-16.5502,8.13881,0.0585683,0.0394882,-0.097846
